STREAM,ZINC,DIVERSITY,ZNGROUP,RESID1,PREDICT1,RESID2,PREDICT2
Eagle,BACK,2.27,1,0.4725,1.7975,0.6975,1.5725
Eagle,HIGH,1.25,4,-0.02777778,1.277778,-0.3225,1.5725
Eagle,HIGH,1.15,4,-0.12777778,1.277778,-0.4225,1.5725
Eagle,MED,1.62,3,-0.09777778,1.717778,0.0475,1.5725
Blue,BACK,1.7,1,-0.0975,1.7975,0.03,1.67
Blue,HIGH,0.63,4,-0.64777778,1.277778,-1.04,1.67
Blue,BACK,2.05,1,0.2525,1.7975,0.38,1.67
Blue,BACK,1.98,1,0.1825,1.7975,0.31,1.67
Blue,HIGH,1.04,4,-0.23777778,1.277778,-0.63,1.67
Blue,MED,2.19,3,0.47222222,1.717778,0.52,1.67
Blue,MED,2.1,3,0.38222222,1.717778,0.43,1.67
Snake,BACK,2.2,1,0.4025,1.7975,0.422,1.778
Snake,MED,2.06,3,0.34222222,1.717778,0.282,1.778
Snake,HIGH,1.9,4,0.62222222,1.277778,0.122,1.778
Snake,HIGH,1.88,4,0.60222222,1.277778,0.102,1.778
Snake,HIGH,0.85,4,-0.42777778,1.277778,-0.928,1.778
Arkan,LOW,1.4,2,-0.6325,2.0325,-0.50714286,1.907143
Arkan,LOW,2.18,2,0.1475,2.0325,0.27285714,1.907143
Arkan,LOW,1.83,2,-0.2025,2.0325,-0.07714286,1.907143
Arkan,LOW,1.88,2,-0.1525,2.0325,-0.02714286,1.907143
Arkan,MED,2.02,3,0.30222222,1.717778,0.11285714,1.907143
Arkan,MED,1.94,3,0.22222222,1.717778,0.03285714,1.907143
Arkan,LOW,2.1,2,0.0675,2.0325,0.19285714,1.907143
Chalk,LOW,2.38,2,0.3475,2.0325,0.428,1.952
Chalk,HIGH,1.43,4,0.15222222,1.277778,-0.522,1.952
Chalk,HIGH,1.37,4,0.09222222,1.277778,-0.582,1.952
Chalk,MED,1.75,3,0.03222222,1.717778,-0.202,1.952
Chalk,LOW,2.83,2,0.7975,2.0325,0.878,1.952
Splat,BACK,1.53,1,-0.2675,1.7975,0.26,1.27
Splat,BACK,0.76,1,-1.0375,1.7975,-0.51,1.27
Splat,MED,0.8,3,-0.91777778,1.717778,-0.47,1.27
Splat,LOW,1.66,2,-0.3725,2.0325,0.39,1.27
Splat,MED,0.98,3,-0.73777778,1.717778,-0.29,1.27
Splat,BACK,1.89,1,0.0925,1.7975,0.62,1.27
