DENSITY,SEASON,EGGS,RESID1,PREDICT1
6,spring,1.167,0.05566667,1.1113333
6,spring,0.5,-0.61133333,1.1113333
6,spring,1.667,0.55566667,1.1113333
6,summer,4,0.11333333,3.8866667
6,summer,3.83,-0.05666667,3.8866667
6,summer,3.83,-0.05666667,3.8866667
12,spring,1.5,0.389,1.111
12,spring,0.833,-0.278,1.111
12,spring,1,-0.111,1.111
12,summer,3.33,0.44333333,2.8866667
12,summer,2.58,-0.30666667,2.8866667
12,summer,2.75,-0.13666667,2.8866667
24,spring,0.667,-0.02766667,0.6946667
24,spring,0.667,-0.02766667,0.6946667
24,spring,0.75,0.05533333,0.6946667
24,summer,2.54,0.54,2
24,summer,1.83,-0.17,2
24,summer,1.63,-0.37,2
